Kuukausi,Polttoneste,Hinta
1997-03-01,"Kevyt polttoöljy, eur/MWh",29.6
1997-04-01,"Moottoribensiini 95 E 10, snt/l",91.2
1997-04-01,"Dieselöljy, snt/l",63.4
1997-04-01,"Kevyt polttoöljy, snt/l",29.1
1997-04-01,"Kevyt polttoöljy, eur/MWh",29.2
1997-05-01,"Moottoribensiini 95 E 10, snt/l",92.3
1997-05-01,"Dieselöljy, snt/l",62.2
1997-05-01,"Kevyt polttoöljy, snt/l",29.3
1997-05-01,"Kevyt polttoöljy, eur/MWh",29.4
1997-06-01,"Moottoribensiini 95 E 10, snt/l",92.0
1997-06-01,"Dieselöljy, snt/l",62.1
1997-06-01,"Kevyt polttoöljy, snt/l",28.3
1997-06-01,"Kevyt polttoöljy, eur/MWh",28.4
1997-07-01,"Moottoribensiini 95 E 10, snt/l",93.2
1997-07-01,"Dieselöljy, snt/l",62.2
1997-07-01,"Kevyt polttoöljy, snt/l",28.6
1997-07-01,"Kevyt polttoöljy, eur/MWh",28.7
1997-08-01,"Moottoribensiini 95 E 10, snt/l",96.2
1997-08-01,"Dieselöljy, snt/l",64.6
1997-08-01,"Kevyt polttoöljy, snt/l",29.9
1997-08-01,"Kevyt polttoöljy, eur/MWh",30.1
1997-09-01,"Moottoribensiini 95 E 10, snt/l",92.7
1997-09-01,"Dieselöljy, snt/l",64.1
1997-09-01,"Kevyt polttoöljy, snt/l",28.9
1997-09-01,"Kevyt polttoöljy, eur/MWh",29.1
1997-10-01,"Moottoribensiini 95 E 10, snt/l",94.0
1997-10-01,"Dieselöljy, snt/l",64.1
1997-10-01,"Kevyt polttoöljy, snt/l",30.3
1997-10-01,"Kevyt polttoöljy, eur/MWh",30.4
1997-11-01,"Moottoribensiini 95 E 10, snt/l",92.0
1997-11-01,"Dieselöljy, snt/l",64.6
