"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1993M09","Kevyt polttoöljy, eur/MWh",27.5,9.1
"1993M10","Moottoribensiini 95 E 10, snt/l",76.7,-3.2
"1993M10","Dieselöljy, snt/l",52.1,0.7
"1993M10","Kevyt polttoöljy, snt/l",27.9,9.2
"1993M10","Kevyt polttoöljy, eur/MWh",28.0,8.9
"1993M11","Moottoribensiini 95 E 10, snt/l",74.7,-5.5
"1993M11","Dieselöljy, snt/l",52.6,2.0
"1993M11","Kevyt polttoöljy, snt/l",28.4,11.9
"1993M11","Kevyt polttoöljy, eur/MWh",28.6,12.2
"1993M12","Moottoribensiini 95 E 10, snt/l",73.5,-6.2
"1993M12","Dieselöljy, snt/l",52.1,1.6
"1993M12","Kevyt polttoöljy, snt/l",26.4,6.1
"1993M12","Kevyt polttoöljy, eur/MWh",26.5,6.0
"1994M01","Moottoribensiini 95 E 10, snt/l",73.2,-5.2
"1994M01","Dieselöljy, snt/l",52.3,-2.2
"1994M01","Kevyt polttoöljy, snt/l",27.3,1.9
"1994M01","Kevyt polttoöljy, eur/MWh",27.4,1.9
"1994M02","Moottoribensiini 95 E 10, snt/l",72.7,-7.9
"1994M02","Dieselöljy, snt/l",51.6,-5.0
"1994M02","Kevyt polttoöljy, snt/l",26.2,-6.6
"1994M02","Kevyt polttoöljy, eur/MWh",26.4,-6.4
"1994M03","Moottoribensiini 95 E 10, snt/l",74.0,-8.3
"1994M03","Dieselöljy, snt/l",52.1,-4.3
"1994M03","Kevyt polttoöljy, snt/l",25.6,-11.6
"1994M03","Kevyt polttoöljy, eur/MWh",25.7,-11.7
"1994M04","Moottoribensiini 95 E 10, snt/l",75.5,-7.4
"1994M04","Dieselöljy, snt/l",51.8,-4.4
"1994M04","Kevyt polttoöljy, snt/l",25.6,-7.9
"1994M04","Kevyt polttoöljy, eur/MWh",25.7,-7.9
"1994M05","Moottoribensiini 95 E 10, snt/l",74.7,-7.1
"1994M05","Dieselöljy, snt/l",50.8,-4.7
"1994M05","Kevyt polttoöljy, snt/l",25.6,-5.0
"1994M05","Kevyt polttoöljy, eur/MWh",25.7,-4.8
"1994M06","Moottoribensiini 95 E 10, snt/l",75.9,-3.6
"1994M06","Dieselöljy, snt/l",61.1,17.9
"1994M06","Kevyt polttoöljy, snt/l",25.4,-4.4
